id, type, accessories
755, zombie, beard / jesterhat / eyemask
756, orc, wildhair-blonde / lasereyes3-green
757, alien, mohawk
758, pink, mohawk2-blonde / clowneyes-blue / clownnose
759, maxibiz, knittedcap
760, black, wildhair / lasereyes-red
761, default, knittedcap / lasereyes2-blue
762, human1, chinstrap / mohawk-red
763, human2, beard / vr
764, human3, peakspike / goldchain
765, orange, eyemask
766, zombie, wildhair / classicshades
767, orc, luxuriousbeard-light / wildhair-red
768, alien, wildhair / 3dglasses
769, pink, cowboyhat / clowneyes-blue / clownnose
770, maxibiz, bandana
771, black, chinstrap / peakspike / lasereyes2-red
772, default, mohawk / eyepatch
773, human1, mohawk2-blonde / goldchain / lasereyes3-green
774, human2, wildhair-purple / lasereyes3-red
775, human3, goat / wildhair / earring / lasereyes3-gold
776, orange, jesterhat / earring / skigoogles
777, zombie, mohawk2-red / coolshades
778, orc, classicshades
779, alien, wildhair-purple / clowneyes / clownnose
780, pink, peakspike-blonde / goldchain
781, maxibiz, luxuriousbeard / bob / lasereyes2-red
782, black, beard / cowboyhat / lasereyes2-red
783, default, chinstrap / bandana2
784, human1, cap2 / goldchain / lasereyes3-green
785, human2, wildhair-purple / eyemask
786, human3, knittedcap / classicshades
787, orange, jesterhat / goldchain / coolshades
788, zombie, wildhair-red / classicshades
789, orc, mohawk-blonde
790, alien, mohawk2-red / 3dglasses
791, pink, beanie / classicshades
792, maxibiz, headband / skigoogles
793, black, chinstrap / bob
794, default, mohawk / goldchain
795, human1, wildhair
796, human2, peakspike / goldchain
797, human3, beard-light / eyepatch
798, orange, wildhair-blonde / clowneyes / clownnose
799, zombie, mohawk2-purple
800, orc, chinstrap / wildhair-blonde / goldchain / clowneyes / clownnose
801, alien, mohawk2-purple
802, pink, bob-blonde / earring / clowneyes-blue / clownnose
803, maxibiz, knittedcap
804, black, beard / wildhair / goldchain
805, default, bob
806, human1, peakspike / earring / lasereyes3-gold
807, human2, wildhair-blonde / goldchain / lasereyes3-red
808, human3, wildhair-purple
809, orange, bandana2 / 3dglasses
810, zombie, vr
811, orc, luxuriousbeard / mohawk-purple / lasereyes3-red
812, alien, mohawk-purple / coolshades
813, pink, beanie / goldchain
814, maxibiz, chinstrap / mohawk / lasereyes-blue
815, black, beard / headband / earring
816, default, mohawk2
817, human1, 3dglasses
818, human2, mohawk / lasereyes3-red
819, human3, luxuriousbeard-light / wildhair-red
820, orange, wildhair / vr
821, zombie, chinstrap-light / mohawk2-purple / vr
822, orc, bandana
823, alien, cap3 / classicshades
824, pink, earring / eyepatch
825, maxibiz, cap3 / goldchain / clowneyes / clownnose
826, black, chinstrap / mohawk / lasereyes2-green
827, default, cowboyhat / eyepatch
828, human1, chinstrap-light / lasereyes3-red
829, human2, wildhair-purple / clowneyes / clownnose
830, human3, wildhair-blonde
831, orange, luxuriousbeard-light / wildhair / lasereyes3-green
832, zombie, goat / goldchain
833, orc, goat / knittedcap / lasereyes3-gold
834, alien, 3dglasses
835, pink, frenchcap / goldchain / eyemask
836, maxibiz, beard / bob / lasereyes-green
837, black, mohawk2 / vr
838, default, bandana / clowneyes / clownnose
839, human1, beard / tophat
840, human2, beanie / lasereyes3-green
841, human3, chinstrap-light / mohawk2-blonde / goldchain / clowneyes / clownnose
842, orange, mohawk2-red
843, zombie, headband / lasereyes3-green
844, orc, knittedcap
845, alien, wildhair / 3dglasses
846, pink, bob-blonde / cap / classicshades
847, maxibiz, chinstrap / wizardhat / goldchain / lasereyes-gold
848, black, mohawk2 / classicshades
849, default, mohawk2 / lasereyes2-green
850, human1, mohawk-purple
851, human2, chinstrap / mohawk2-red
852, human3, mohawk
853, orange, lasereyes3-gold
854, zombie, goat / mohawk2-red
855, orc, bandana2 / eyemask
856, alien, mohawk2-blonde
857, pink, bob-blonde / earring
858, maxibiz, luxuriousbeard / wildhair / lasereyes-red
859, black, luxuriousbeard / jesterhat / goldchain / lasereyes2-red
860, default, tophat / lasereyes2-blue
861, human1, mohawk
862, human2, wildhair-red
863, human3, peakspike / 3dglasses
864, orange, bandana2 / skigoogles
865, zombie, mohawk2-purple / lasereyes3-red
866, orc, mohawk2-purple / lasereyes3-gold
867, alien, 
868, pink, peakspike-blonde / earring
869, maxibiz, beanie / lasereyes-blue
870, black, wildhair / earring / lasereyes-green
871, default, mohawk
872, human1, mohawk2 / 3dglasses
873, human2, chinstrap-light / bandana
874, human3, mohawk2-red / goldchain / coolshades
875, orange, clowneyes / clownnose
876, zombie, chinstrap-light / mohawk2-purple / eyepatch
877, orc, cap3 / earring / eyemask
878, alien, mohawk-purple / lasereyes3-red
879, pink, jesterhat / earring
880, maxibiz, cap2
881, black, mohawk / vr
882, default, goldchain / lasereyes2-red
883, human1, knittedcap
884, human2, mohawk2-purple
885, human3, bandana / skigoogles
886, orange, wildhair-blonde / vr
887, zombie, wildhair-purple / lasereyes3-gold
888, orc, wildhair-blonde
889, alien, mohawk2-blonde
890, pink, peakspike-blonde / clowneyes-blue / clownnose
891, maxibiz, headband / goldchain / 3dglasses
892, black, chinstrap / bob / eyepatch
893, default, peakspike / lasereyes2-red
894, human1, mohawk2-blonde
895, human2, cowboyhat / eyepatch
896, human3, chinstrap / mohawk-purple / earring / lasereyes3-gold
897, orange, mohawk-purple
898, zombie, peakspike / earring / classicshades
899, orc, knittedcap
900, alien, mohawk / lasereyes3-gold
901, pink, mohawk2-blonde / goldchain
902, maxibiz, mohawk2 / earring / lasereyes-red
903, black, bob
904, default, mohawk2 / skigoogles
905, human1, mohawk2 / lasereyes3-green
906, human2, cap3
907, human3, wildhair-red / coolshades
908, orange, beard-light / mohawk-blonde / goldchain
909, zombie, earring / classicshades
910, orc, beard-light / crown / clowneyes / clownnose
911, alien, crown / coolshades
912, pink, eyemask
913, maxibiz, wildhair
914, black, luxuriousbeard / peakspike / lasereyes2-green
915, default, wildhair
916, human1, wildhair-purple
917, human2, goat / wildhair-blonde
918, human3, crown / clowneyes / clownnose
919, orange, wildhair-red / earring / coolshades
920, zombie, wildhair-red / earring / lasereyes3-green
921, orc, wildhair
922, alien, bandana2 / 3dglasses
923, pink, 
924, maxibiz, knittedcap / goldchain / lasereyes2-red
925, black, peakspike / 3dglasses
926, default, mohawk2 / lasereyes-green
927, human1, mohawk2-blonde
928, human2, wildhair-purple / eyepatch
929, human3, cowboyhat / vr
930, orange, hoodie / 3dglasses
931, zombie, luxuriousbeard-light / tophat
932, orc, 
933, alien, beanie
934, pink, bob-blonde / eyemask
935, maxibiz, bandana / eyemask
936, black, bob / eyemask
937, default, chinstrap / capforward / skigoogles
938, human1, cowboyhat / earring
939, human2, mohawk2 / 3dglasses
940, human3, luxuriousbeard / peakspike
941, orange, chinstrap / crown / eyemask
942, zombie, mohawk2-blonde / lasereyes3-gold
943, orc, peakspike / vr
944, alien, cap3 / eyepatch
945, pink, mohawk-blonde / earring / clowneyes-blue / clownnose
946, maxibiz, knittedcap / lasereyes-red
947, black, luxuriousbeard / bandana2 / lasereyes-green
948, default, luxuriousbeard / headband
949, human1, luxuriousbeard / wildhair-blonde / earring
950, human2, cowboyhat / 3dglasses
951, human3, wizardhat / eyepatch
952, orange, mohawk2-purple / eyepatch
953, zombie, mohawk2-blonde / coolshades
954, orc, lasereyes3-green
955, alien, mohawk2 / eyepatch
956, pink, bob-blonde / goldchain
957, maxibiz, bob / lasereyes2-blue
958, black, bob / lasereyes-blue
959, default, wildhair / lasereyes-green
960, human1, mohawk2-blonde
961, human2, mohawk2-blonde / vr
962, human3, mohawk2 / goldchain / skigoogles
963, orange, wildhair-red / eyepatch
964, zombie, jesterhat / earring / eyepatch
965, orc, peakspike / 3dglasses
966, alien, wizardhat
967, pink, bob-blonde / headband / goldchain / lasereyes3-blue
968, maxibiz, beard / beanie / earring / lasereyes2-red
969, black, hoodie
970, default, peakspike / coolshades
971, human1, mohawk
972, human2, cap3 / vr
973, human3, crown
974, orange, knittedcap / pipe / lasereyes3-green
975, zombie, hoodie / vr
976, orc, mohawk-blonde / vr
977, alien, bandana / lasereyes3-red
978, pink, mohawk2-blonde
979, maxibiz, cap2 / vr
980, black, peakspike / clowneyes / clownnose
981, default, classicshades
982, human1, peakspike / goldchain / clowneyes / clownnose
983, human2, peakspike / coolshades
984, human3, beanie
985, orange, chinstrap / cap3 / classicshades
986, zombie, chinstrap / wildhair-red
987, orc, mohawk2-blonde / vr
988, alien, wildhair-blonde / lasereyes3-red
989, pink, cap / vr
990, maxibiz, bob / skigoogles
991, black, headband / lasereyes2-red
992, default, cap2 / goldchain
993, human1, peakspike / lasereyes3-green
994, human2, headband / lasereyes3-green
995, human3, hoodie / goldchain / bubblegum / lasereyes3-red
996, orange, mohawk-blonde / skigoogles
997, zombie, mohawk2-red / earring
998, orc, mohawk2-purple / vr
999, alien, jesterhat
1000, pink, mohawk2-blonde / earring / skigoogles
1001, maxibiz, cap3
1002, black, peakspike / lasereyes-green
1003, default, crown / goldchain / lasereyes-red
1004, human1, wildhair-purple / eyemask
1005, human2, luxuriousbeard-light / mohawk2-red / skigoogles
1006, human3, goat / mohawk2-purple
1007, orange, wildhair-blonde
1008, zombie, 
1009, orc, beanie / lasereyes3-gold
1010, alien, bandana2 / classicshades
1011, pink, hoodie / earring / bigshades
1012, maxibiz, peakspike / lasereyes2-red
1013, black, mohawk / earring
1014, default, peakspike / eyepatch
1015, human1, mohawk-purple
1016, human2, capforward
1017, human3, beard-light / cap2 / classicshades
1018, orange, chinstrap / mohawk-blonde / skigoogles
1019, zombie, mohawk-red / classicshades
1020, orc, mohawk / lasereyes3-green
1021, alien, crown
1022, pink, bob-blonde / headband / earring / eyepatch
1023, maxibiz, chinstrap / mohawk2 / lasereyes-green
1024, black, mohawk / clowneyes / clownnose
1025, default, mohawk
1026, human1, luxuriousbeard / mohawk-purple
1027, human2, peakspike / earring / lasereyes3-gold
1028, human3, mohawk2-red / lasereyes3-red
1029, orange, chinstrap / wildhair-purple / classicshades
1030, zombie, skigoogles
1031, orc, coolshades
1032, alien, wildhair-red / vr
1033, pink, bob-blonde / headband / eyemask
1034, maxibiz, bandana2 / lasereyes-blue
1035, black, chinstrap / peakspike / lasereyes-gold
1036, default, wildhair / clowneyes / clownnose
1037, human1, mohawk2-purple / lasereyes3-gold
1038, human2, beard-light / mohawk2-blonde / skigoogles
1039, human3, beard-light / wildhair-red / earring / 3dglasses
1040, orange, knittedcap / earring / 3dglasses
1041, zombie, bandana / goldchain / clowneyes / clownnose
1042, orc, chinstrap-light / mohawk-red / skigoogles
1043, alien, mohawk2-red
1044, pink, bob-blonde / cap / 3dglasses
1045, maxibiz, chinstrap / mohawk / lasereyes2-green
1046, black, chinstrap / bob / earring / lasereyes-gold
1047, default, headband / lasereyes-gold
1048, human1, 
1049, human2, wizardhat / goldchain / eyepatch
1050, human3, earring / lasereyes3-red
1051, orange, crown / classicshades
1052, zombie, peakspike / eyemask
1053, orc, mohawk2-purple / coolshades
1054, alien, wildhair-purple / lasereyes3-red
1055, pink, mohawk2-blonde / goldchain / lasereyes3-blue
1056, maxibiz, crown / clowneyes / clownnose
1057, black, beard / peakspike
1058, default, cap2 / goldchain / eyepatch
1059, human1, mohawk2-purple
1060, human2, mohawk2-purple / goldchain / lasereyes3-green
1061, human3, wildhair-blonde / classicshades
1062, orange, mohawk2-blonde
1063, zombie, wildhair
1064, orc, peakspike / lasereyes3-green
1065, alien, wildhair-purple / vr
1066, pink, peakspike-blonde / skigoogles
1067, maxibiz, beard / bob / coolshades
1068, black, wildhair / classicshades
1069, default, bandana
1070, human1, mohawk2-red
1071, human2, wizardhat / lasereyes3-green
1072, human3, beanie
1073, orange, mohawk-red / earring
1074, zombie, bandana2 / lasereyes3-green
1075, orc, luxuriousbeard-light / mohawk / coolshades
1076, alien, mohawk-purple / lasereyes3-green
1077, pink, bob-blonde / 3dglasses
1078, maxibiz, luxuriousbeard / mohawk2
1079, black, lasereyes-red
1080, default, cap2
1081, human1, crown / skigoogles
1082, human2, skigoogles
1083, human3, mohawk2-red / skigoogles
1084, orange, 
1085, zombie, cap3 / goldchain
1086, orc, luxuriousbeard-light / lasereyes3-green
1087, alien, mohawk2-red / skigoogles
1088, pink, peakspike-blonde / earring / skigoogles
1089, maxibiz, bandana2 / eyepatch
1090, black, mohawk / lasereyes2-red
1091, default, peakspike / earring / skigoogles
1092, human1, peakspike / skigoogles
1093, human2, goat / peakspike / earring
1094, human3, mohawk2-red / eyepatch
1095, orange, luxuriousbeard / mohawk2-red
1096, zombie, classicshades
1097, orc, mohawk-blonde / lasereyes3-green
1098, alien, mohawk2 / lasereyes3-red
1099, pink, hoodie / earring
1100, maxibiz, mohawk
1101, black, eyepatch
1102, default, crown / classicshades
1103, human1, mohawk2 / lasereyes3-red
1104, human2, wildhair-blonde / goldchain / eyepatch
1105, human3, chinstrap / mohawk2-red / clowneyes / clownnose
1106, orange, bandana2
1107, zombie, beard / headband / earring / vr
1108, orc, mohawk-blonde / clowneyes / clownnose
1109, alien, capforward
1110, pink, bob-blonde
1111, maxibiz, bob / goldchain
1112, black, wildhair / vr
1113, default, crown
1114, human1, beanie / goldchain / eyepatch
1115, human2, wildhair-blonde
1116, human3, wildhair-red / goldchain / lasereyes3-gold
1117, orange, beard-light / mohawk-purple / bubblegum / lasereyes3-green
1118, zombie, bandana / earring / 3dglasses
1119, orc, beard-light / peakspike / classicshades
1120, alien, mohawk2 / classicshades
1121, pink, bob-blonde / headband / earring / eyepatch
1122, maxibiz, jesterhat
1123, black, luxuriousbeard / jesterhat / lasereyes2-blue
1124, default, jesterhat
1125, human1, wildhair-purple / skigoogles
1126, human2, mohawk-purple / vr
1127, human3, beard-light / knittedcap
1128, orange, beanie
1129, zombie, chinstrap-light / mohawk-blonde / lasereyes3-red
1130, orc, wildhair-blonde / classicshades
1131, alien, eyepatch
1132, pink, mohawk2-blonde / goldchain / vr
1133, maxibiz, luxuriousbeard / crown / skigoogles
1134, black, headband / goldchain / lasereyes-red
1135, default, beard / mohawk2 / skigoogles
1136, human1, earring / eyemask
1137, human2, mohawk-red / lasereyes3-gold
1138, human3, beard-light / wildhair-purple / skigoogles
1139, orange, mohawk2-blonde / clowneyes / clownnose
1140, zombie, mohawk2 / lasereyes3-green
1141, orc, chinstrap-light / wildhair-red / lasereyes3-green
1142, alien, cowboyhat / lasereyes3-green
1143, pink, jesterhat / earring / clowneyes-blue / clownnose
1144, maxibiz, beard / mohawk / lasereyes2-gold
1145, black, chinstrap / mohawk / lasereyes2-red
1146, default, luxuriousbeard / eyemask
1147, human1, chinstrap-light / bandana / earring
